id;createdondate;name;price;brand;totalquantity;category;specs
1;2023-04-17T13:26:07;Checking Account;62682;website calculating;57374;monetize Principal navigate;wireless Computer
2;2023-04-17T00:45:29;reboot deposit Sri Lanka Rupee;86953;actuating THX;8294;Centers Steel Credit Card Account;networks infomediaries
3;2023-04-17T05:08:54;Incredible Infrastructure;46442;transmitting intermediate withdrawal;49167;Generic Metal Hat;intranet
4;2023-04-17T07:30:31;neutral;4329;Bike;6446;Computer Oklahoma Identity;throughput
5;2023-04-17T16:44:28;Data Identity;58781;indigo Sports Human;55869;Implementation Steel;Shirt intangible
6;2023-04-17T12:28:24;withdrawal Rubber;86573;Liaison;22423;Shoes;Center Intelligent tangible
7;2023-04-17T01:47:55;Gorgeous Rubber Cheese quantifying;16934;rich multi-byte online;90340;project Stand-alone Computer;Arizona Buckinghamshire
8;2023-04-16T20:19:35;applications;25082;lavender wireless navigate;21464;Harbors backing up;Massachusetts Checking Account Gorgeous Fresh Ball
9;2023-04-17T16:44:32;Brand;10526;Plastic convergence;98208;Chair National Ukraine;Associate Games
10;2023-04-17T02:44:35;Personal Loan Account Mobility multi-byte;7184;Kids Outdoors;84724;Martinique Industrial Rustic;magenta
