id;createdondate;rating;review_text;userid
1;2023-04-16T23:06:23;67162;program XSS;56780
2;2023-04-17T06:40:50;35205;parallelism expedite;97358
3;2023-04-17T04:18:45;72169;payment;67965
4;2023-04-16T23:54:28;30408;interfaces Home Loan Account;64866
5;2023-04-17T07:02:32;62414;deposit Buckinghamshire;82895
6;2023-04-16T22:07:27;16887;Organized Tanzanian Shilling Kyrgyz Republic;45735
7;2023-04-17T18:17:05;32607;Berkshire;14007
8;2023-04-17T13:05:01;9078;array methodology pixel;9778
9;2023-04-17T02:35:15;73958;Practical Plastic Salad even-keeled;98298
10;2023-04-16T19:59:00;67927;Industrial;41655
